"id","group","age"
"S1",0,1.08
"S2",1,0.58
"S3",0,0.01
"S4",1,-0.09
"S5",0,1.25
"S6",1,1.39
"S7",0,0.64
"S8",1,-0.01
"S9",0,-1.08
"S10",1,-0.98
"S11",0,-1.52
"S12",1,0.58
"S13",0,0.93
"S14",1,0.41
"S15",0,-3.09
"S16",1,-0.03
"S17",0,-0.79
"S18",1,0.56
"S19",0,-1.46
"S20",1,-1.85
"S21",0,1.24
"S22",1,0.43
"S23",0,1.14
"S24",1,-0.09
"S25",0,0.51
"S26",1,-1.39
"S27",0,0
"S28",1,0.79
"S29",0,-1.9
"S30",1,0.01
"S31",0,-1.29
"S32",1,-0.2
"S33",0,-0.38
"S34",1,1.3
"S35",0,-0.37
"S36",1,0.5
"S37",0,0.45
"S38",1,-0.36
"S39",0,-0.44
"S40",1,0.54
"S41",0,-0.74
"S42",1,0.11
"S43",0,0.6
"S44",1,2.05
"S45",0,-1.05
"S46",1,0.25
"S47",0,0.44
"S48",1,0.77
"S49",0,0.74
"S50",1,2.02
"S51",0,-0.42
"S52",1,-0.63
"S53",0,-0.52
"S54",1,-0.89
"S55",0,-0.55
"S56",1,-1.29
"S57",0,1
"S58",1,-0.12
"S59",0,1.1
"S60",1,0.09
